KSP Nummer;Baumnummer;Radius;Azimut;BHD
1172;0;0;0;0
1172;1;9.079999924;15;407
1172;2;8.670000076;56;482
1172;3;0;0;133
1172;4;11.38000011;85;320
1172;5;0.970000029;89;123
1172;6;3.319999933;103;523
1172;7;10.39999962;128;524
1172;8;6.139999866;198;398
1172;9;11.09000015;201;492
1172;10;5.25;230;376
1172;11;11;254;413
1172;12;0.709999979;300;437
1172;13;9.869999886;314;413
1172;15;8.180000305;342;520
1172;16;3.910000086;343;164
1172;17;11;174;307
1172;18;7.300000191;211;229
1172;19;12.39999962;242;433
1172;20;1.600000024;248;99
1172;21;2.299999952;277;126
1172;22;0;0;85
1172;25;8.699999809;142;309
1172;26;8.800000191;273;319
1172;27;11.60000038;277;341
1173;1;6.300000191;1;544
1173;2;10.93999958;30;441
1173;5;9.449999809;70;561
1173;6;11.94999981;131;631
1173;7;11.85000038;167;437
1173;8;7.96999979;253;585
1173;9;10.52999973;260;320
1173;10;4.710000038;382;411
1173;11;9.399999619;291;361
1173;12;0;0;320
1173;13;0;0;70
1173;14;0;0;170
1173;20;9.600000381;297;326
1174;1;12.25;1;419
1174;2;5.699999809;19;445
1174;3;2.690000057;38;285
1174;5;2.75999999;192;406
1174;6;6.139999866;265;444
1174;8;8.489999771;349;454
1174;9;1.879999995;350;348
1174;10;11.89999962;5;398
1174;11;4;261;95
1174;12;6.400000095;158;230
1174;13;9.399999619;229;366
1174;16;0;0;120
1174;17;0;0;89
1174;22;1.799999952;134;88
1174;23;4.199999809;171;71
1174;24;12.5;206;410
1174;25;9.5;284;396
1174;26;12.5;302;391